id_venta,id_cliente,nombre_archivo,cantidad_afiches,zona,estado
1,91,RutrumNulla.gif,54,2,1
2,75,EtCommodo.tiff,37,0,0
3,1,Et.gif,37,2,1
4,1,CondimentumNeque.gif,71,2,0
5,35,HabitassePlateaDictumst.tiff,26,1,0
6,9,Sed.gif,30,0,0
7,93,Risus.gif,20,0,1
8,3,Nunc.gif,68,0,0
9,58,ViverraPede.tiff,53,1,0
10,25,Euismod.jpeg,53,0,1
11,60,Suspendisse.jpeg,2,1,0
12,30,SuscipitNullaElit.jpeg,62,1,0
13,1,Et.jpeg,26,0,1
14,94,ConsequatMetusSapien.gif,48,0,1
15,1,MetusArcu.jpeg,53,1,1
16,1,In.tiff,90,2,1
17,82,OdioCurabiturConvallis.tiff,33,1,0
18,10,Nulla.tiff,93,1,1
19,19,AnteIpsumPrimis.png,66,2,1
20,60,ElementumLigula.tiff,53,2,1
21,100,AmetConsectetuerAdipiscing.tiff,56,2,0
22,85,PellentesqueViverra.tiff,27,2,1
23,76,Vel.tiff,58,2,0
24,48,EuSapien.tiff,35,2,1
25,98,Sed.jpeg,46,1,1
26,11,PedeMalesuada.jpeg,53,0,1
27,15,SapienCursusVestibulum.jpeg,48,0,1
28,75,Urna.png,88,0,1
29,74,Sit.jpeg,17,2,1
30,29,Morbi.png,69,1,1
31,26,VulputateJusto.gif,76,0,1
32,58,Curabitur.tiff,62,0,0
33,11,Dolor.jpeg,60,1,0
34,79,QuamAOdio.jpeg,55,2,1
35,85,Porttitor.tiff,78,0,0
36,39,Vehicula.gif,49,2,0
37,99,Mauris.gif,19,2,0
38,27,Habitasse.gif,72,2,0
39,87,PhasellusSitAmet.tiff,43,1,1
40,95,Pellentesque.tiff,75,1,1
41,56,Id.jpeg,14,1,0
42,76,EratErosViverra.gif,3,1,1
43,88,AtNibhIn.tiff,94,0,1
44,91,NequeSapien.png,35,2,1
45,34,NullaQuisqueArcu.tiff,93,0,1
46,88,Lobortis.tiff,99,2,1
47,70,TurpisEgetElit.tiff,15,0,0
48,7,UltricesErat.tiff,79,0,0
49,70,RutrumRutrum.tiff,74,0,1
50,56,InImperdiet.jpeg,38,2,0
51,25,JustoPellentesque.png,57,1,0
52,74,Posuere.tiff,44,1,1
53,47,ConvallisNunc.tiff,12,1,0
54,34,MorbiOdio.jpeg,94,0,0
55,88,EstLacinia.jpeg,8,0,0
56,70,TellusIn.jpeg,82,2,0
57,43,DonecPosuere.jpeg,37,2,1
58,93,NullaNequeLibero.jpeg,11,0,1
59,83,Nisl.png,25,0,1
60,16,FelisEuSapien.tiff,84,2,1
61,23,AdipiscingElitProin.tiff,79,1,1
62,18,MattisPulvinarNulla.tiff,5,1,1
63,4,EuMassaDonec.gif,99,0,0
64,82,MagnisDis.tiff,42,1,0
65,33,DictumstMorbi.gif,60,0,1
66,22,VestibulumEgetVulputate.tiff,8,1,0
67,33,EtiamVel.jpeg,6,0,0
68,24,Elit.jpeg,94,1,1
69,28,RisusDapibusAugue.gif,38,1,0
70,70,DonecOdioJusto.jpeg,46,1,1
71,53,Suscipit.tiff,78,0,0
72,63,NullamVariusNulla.gif,43,2,1
73,87,Ac.tiff,76,0,0
74,99,PorttitorId.png,10,2,1
75,36,UtUltricesVel.png,58,1,0
76,15,Bibendum.tiff,84,0,0
77,24,Imperdiet.png,70,2,1
78,26,TemporTurpisNec.jpeg,43,0,0
79,78,Vel.jpeg,86,1,1
80,9,Sed.png,7,0,0
81,61,MiInPorttitor.tiff,71,0,0
82,66,Dui.tiff,94,2,0
83,31,MaecenasTinciduntLacus.png,74,2,0
84,22,UrnaPretium.tiff,60,1,1
85,76,Turpis.tiff,67,2,1
86,66,Duis.gif,44,1,1
87,36,Amet.png,7,0,0
88,80,ElitProinInterdum.gif,29,1,1
89,54,NullaJusto.gif,51,2,1
90,96,CurabiturGravidaNisi.gif,27,2,1
91,43,PlateaDictumst.jpeg,42,2,1
92,65,HacHabitasse.png,84,1,0
93,34,UtSuscipit.jpeg,59,0,1
94,97,Erat.tiff,97,1,0
95,66,jejejejejeje.jpge,89,0,1
96,3,SuscipitLigula.tiff,8,1,1
97,44,EgetEleifend.tiff,6,1,1
98,33,AliquetMassaId.png,14,1,1
99,3,Vehicula.tiff,68,0,1
100,23,QuisTurpisSed.tiff,31,1,1
101,101,prueba.tiff,12,2,0
